Owner;Repository name;Title;Pull Request Number;Pull Request Created At;Pull Request Closed At;Total files;Additions;Deletions;Total reviews;Review decision;Participants;Comments;Body Text
freeCodeCamp;freeCodeCamp;Remove bower_components from source and use bower.json;201;2015-03-14T08:33:58Z;2015-03-18T18:19:25Z;796;72;384111;0;;4;5;Use bower install to install bower components.
freeCodeCamp;freeCodeCamp;Dev server crash fix;204;2015-03-14T23:19:40Z;2015-03-18T03:10:30Z;1;6;4;0;;3;7;"Fix for #199.
Checks that the request returned a 200. API fails return 400/401.
THIS NEEDS TO BE TESTED WITH REAL API KEYS. I don't have any."
freeCodeCamp;freeCodeCamp;Comment overflow in News fix;208;2015-03-16T07:23:50Z;2015-03-16T07:43:26Z;1;1;1;0;;1;0;"Fixes #205
Adding '.col-xs-12' made things float: left which caused the problem."
freeCodeCamp;freeCodeCamp;Upvote fix;214;2015-03-17T07:24:26Z;2015-03-17T22:48:15Z;3;19;4;0;;3;1;"#210
It now checks if the user has voted or not. If they have voted the up arrow will not be rendered. If they have not voted nothing will change.
If the upvote arrow is clicked it will now disappear as well as send the upvote to the servers.
The existing code can be modified to instead change the asset or some other function."
freeCodeCamp;freeCodeCamp;Fix no user comment display;215;2015-03-17T08:46:49Z;2015-03-17T20:03:07Z;5;34;11;0;;1;3;
freeCodeCamp;freeCodeCamp;Fix no user comment display;217;2015-03-17T20:05:28Z;2015-03-17T22:12:34Z;5;34;11;0;;3;2;Now comparing author id against userid
freeCodeCamp;freeCodeCamp;fix bug in server side checking for username, closes #219;220;2015-03-17T22:17:20Z;2015-03-17T22:19:34Z;1;1;2;0;;2;0;Correctly checked for existing username, was erroneously checking for username, not profile.username
freeCodeCamp;freeCodeCamp;unblock the cdn paths that firefox over-vigilantly blocked;221;2015-03-17T23:32:19Z;2015-03-17T23:32:53Z;1;2;0;0;;1;0;
freeCodeCamp;freeCodeCamp;fullUser fixes;222;2015-03-18T02:12:37Z;2015-03-18T03:16:40Z;1;2;2;0;;1;2;"Set to null if user isn't logged in.
delete fullUser.password; wasn't deleting the password so setting it to null instead."
freeCodeCamp;freeCodeCamp;Stories js var double output fix;223;2015-03-18T02:20:08Z;2015-03-18T03:27:40Z;1;0;2;0;;1;1;"challengeName and user are in stories/index.jade and stories/show.jade.
show.jade is only called from index.jade. This fix removes double output of those vars."
freeCodeCamp;freeCodeCamp;"App ""listens"" before 'MongoStore' is ready fix";225;2015-03-18T03:19:50Z;2015-03-18T06:20:36Z;1;11;11;0;;2;17;fix for #224
EbookFoundation;free-programming-books;Fixed a broken link.;1;2013-10-11T16:55:40Z;2013-10-11T16:57:25Z;1;1;1;0;;2;1;I'm not 100% sure that this is the same book, but I tried to find something I thought was similar.
EbookFoundation;free-programming-books;"removed ""the django book"" links";2;2013-10-11T16:59:00Z;2013-10-11T17:00:29Z;1;0;2;0;;2;1;the django book is extremely out of date. I'll find some better free django books but until then removal is best
EbookFoundation;free-programming-books;Update free-programming-books.md;3;2013-10-11T17:15:36Z;2013-10-11T17:17:32Z;1;1;1;0;;2;0;Fixed .NET (C# / VB / Nemerle / Visual Studio) anchor link.
EbookFoundation;free-programming-books;Added another free e-book;4;2013-10-11T17:37:14Z;2013-10-11T17:40:02Z;1;1;0;0;;2;1;"Added my published book ""97 Things Every Programmer Should Know - Extended"" from LeanPub, which is available for free download."
EbookFoundation;free-programming-books;add gobyexample.com;6;2013-10-11T17:42:29Z;2013-10-11T17:43:23Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;"Added ""An Introduction to Programming in Go""";7;2013-10-11T17:48:01Z;2013-10-11T17:48:45Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added Python for you and me under Python;8;2013-10-11T18:06:48Z;2013-10-11T18:10:19Z;1;2;2;0;;2;0;
EbookFoundation;free-programming-books;Added Python for Informatics;9;2013-10-11T18:08:24Z;2013-10-11T18:10:03Z;1;2;2;0;;2;0;An open sourced book written by Dr. Charles Severance, professor at MichUni. The book is available in every possible format, a really great read!
EbookFoundation;free-programming-books;Added book to free-programming-books.md;10;2013-10-11T18:11:33Z;2013-10-11T18:14:59Z;1;3;3;0;;2;0;Included free book by O’Reilly Media to JavaScript.
EbookFoundation;free-programming-books;"added ""Learning JavaScript Design Patterns"" by Addy Osmani";11;2013-10-11T18:16:06Z;2013-10-11T18:23:16Z;1;7;3;0;;2;0;
EbookFoundation;free-programming-books;Added two java programming books.;12;2013-10-11T18:18:29Z;2013-10-11T18:24:13Z;1;2;1;0;;2;0;Effective Java is one of the most purchased (and best) Java books of all time.
EbookFoundation;free-programming-books;Added one Rust book;13;2013-10-11T18:23:54Z;2013-10-11T18:36:52Z;1;6;0;0;;2;2;
EbookFoundation;free-programming-books;Adding djangobook.com for django section;14;2013-10-11T18:30:00Z;2013-10-11T21:10:13Z;1;1;0;0;;2;1;
EbookFoundation;free-programming-books;Add Distributed Systems for fun and profit;15;2013-10-11T18:49:17Z;2013-10-11T18:51:16Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Update free-programming-books.md;16;2013-10-11T18:54:41Z;2013-10-11T20:01:47Z;1;1;1;0;;2;0;corrected HTML / CSS link
EbookFoundation;free-programming-books;Learn Vimscript the Hard Way;17;2013-10-11T19:33:55Z;2013-10-11T20:01:31Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added Category Theory for Computing Science.;18;2013-10-11T20:10:52Z;2013-10-11T20:30:47Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Add DTrace book from illumos;19;2013-10-11T20:17:10Z;2013-10-11T20:31:03Z;1;3;0;0;;2;0;
EbookFoundation;free-programming-books;Fix embedded Delphi / Pascal link;20;2013-10-11T20:18:19Z;2013-10-11T20:31:17Z;1;1;1;0;;2;0;
EbookFoundation;free-programming-books;Added three books;21;2013-10-11T20:24:52Z;2013-10-11T20:31:48Z;1;7;4;0;;2;0;
EbookFoundation;free-programming-books;update dead link to Emacs manual with new link;22;2013-10-11T20:29:44Z;2013-10-11T20:32:02Z;1;1;1;0;;2;0;Link to emacs manual is dead. Here is the new link.
EbookFoundation;free-programming-books;Adding in a section for D3.js ;23;2013-10-11T21:07:28Z;2013-10-11T22:07:14Z;1;4;0;0;;2;0;"Adding in a section for D3.js with a link to ""Interactive Data Visualiza...tions for the Web"" by Scott Murray"
EbookFoundation;free-programming-books;adding graph databases, the little riak book and Another tour of Scala;24;2013-10-11T21:19:09Z;2013-10-11T21:26:03Z;1;4;0;0;;2;0;
EbookFoundation;free-programming-books;Adding Racket;25;2013-10-11T21:36:13Z;2013-10-11T21:40:30Z;1;5;0;0;;1;0;
EbookFoundation;free-programming-books;linux and go;26;2013-10-11T21:40:16Z;2013-10-12T08:31:51Z;1;3;0;0;;2;0;
EbookFoundation;free-programming-books;Adding Racket language;27;2013-10-11T21:43:35Z;2013-10-11T22:03:48Z;1;5;0;0;;1;0;
EbookFoundation;free-programming-books;Adding Exploringelasticsearch / Elasticsearch category;28;2013-10-11T21:51:42Z;2013-10-12T08:24:25Z;1;5;0;0;;2;0;
EbookFoundation;free-programming-books;Add Learn CSS Layout (http://learnlayout.com/);29;2013-10-11T21:53:39Z;2013-10-12T08:24:44Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Fix link to Compiler Construction;30;2013-10-11T22:06:56Z;2013-10-12T08:25:05Z;1;1;1;0;;2;0;
EbookFoundation;free-programming-books;Adding Racket;31;2013-10-11T22:20:52Z;2013-10-12T08:25:26Z;1;5;0;0;;2;0;
EbookFoundation;free-programming-books;added Objects on Rails;32;2013-10-11T22:58:34Z;2013-10-12T08:25:42Z;1;1;0;0;;2;0;added Avdi's Objects on Rails ebook
EbookFoundation;free-programming-books;added High-Performance Browser Networking;33;2013-10-11T23:08:47Z;2013-10-12T08:32:15Z;1;1;0;0;;2;1;added link to http://chimera.labs.oreilly.com/books/1230000000545/index.html
EbookFoundation;free-programming-books;Added 5 books, managed sections Java and Hadoop;34;2013-10-11T23:16:24Z;2013-10-12T08:35:10Z;1;15;6;0;;2;0;
EbookFoundation;free-programming-books;AI book added for Java;35;2013-10-11T23:22:39Z;2013-10-12T08:37:26Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Add Parallel and Concurrent Programming in Haskell, and YAHT ;36;2013-10-12T00:28:13Z;2013-10-12T08:28:48Z;1;2;0;0;;2;0;(YAHT == Yet Another Haskell Tutorial)
EbookFoundation;free-programming-books;Fixing C/C++ Link;37;2013-10-12T01:42:44Z;2013-10-12T08:28:59Z;1;1;1;0;;2;7;as title says
EbookFoundation;free-programming-books;Update Vim Recipes Link;39;2013-10-12T02:06:10Z;2013-10-12T08:29:15Z;1;1;1;0;;2;0;The old link goes to an expired domain. This new link will take you to a PDF download.
EbookFoundation;free-programming-books;Removed non-free book;40;2013-10-12T02:58:12Z;2013-10-12T08:40:35Z;1;0;1;0;;2;0;
EbookFoundation;free-programming-books;divided #Language Agnostic to multiple disciplines;41;2013-10-12T03:39:55Z;2013-10-12T09:22:43Z;1;75;50;0;;2;0;this needs further refinement
EbookFoundation;free-programming-books;Harel books;42;2013-10-12T04:17:52Z;2013-10-12T08:30:34Z;1;2;0;0;;2;0;links to two of David Harel's books, on Statecharts and LSCs, as hosted on scribd
EbookFoundation;free-programming-books;Adds GA Dash;43;2013-10-12T05:12:19Z;2013-10-12T08:47:15Z;1;1;0;0;;2;0;Dash is a new site that I'm working on to teach HTML and CSS. Try it out and merge if you like it!
EbookFoundation;free-programming-books;Added F#, Oberon and OCaml books;44;2013-10-12T06:34:05Z;2013-10-12T08:31:02Z;1;3;0;0;;2;0;I added 3 free books on F#, OCaml and Oberon.
EbookFoundation;free-programming-books;Added tutorial on Basic Android Setup.;45;2013-10-12T08:53:46Z;2013-10-12T09:08:56Z;1;3;0;0;;2;0;
EbookFoundation;free-programming-books;Lisp Web Tales By Pavel Penev;46;2013-10-12T09:01:50Z;2013-10-12T09:06:38Z;1;1;0;0;;2;0;http://lispwebtales.ppenev.com/
EbookFoundation;free-programming-books;added opengl resource;48;2013-10-12T10:46:02Z;2013-10-12T10:47:14Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added ASP.NET MVC Music Store link to ###ASP.NET MVC.;49;2013-10-12T11:31:15Z;2013-10-12T11:49:00Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added Machine Learning Books;50;2013-10-12T12:54:01Z;2013-10-15T11:15:41Z;1;9;0;0;;4;1;
EbookFoundation;free-programming-books;Added Open Data Structures to ####Algorithms & Datastructures.;51;2013-10-12T13:59:10Z;2013-10-12T15:52:39Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added reference to some free laravel (a popular PHP framework) resources;52;2013-10-12T16:09:08Z;2013-10-12T16:10:13Z;1;4;0;0;;2;0;
EbookFoundation;free-programming-books;removed non-free C++ book.;53;2013-10-12T16:25:45Z;2013-10-12T16:26:55Z;1;0;1;0;;1;0;
EbookFoundation;free-programming-books;"Fix typo ""Getting started with Grails""";54;2013-10-12T16:28:55Z;2013-10-12T16:38:08Z;1;1;1;0;;2;0;
EbookFoundation;free-programming-books;Updated Mixu's Node Book since the author has moved it;55;2013-10-12T17:02:32Z;2013-10-12T17:18:05Z;1;1;1;0;;2;0;
EbookFoundation;free-programming-books;"Removed ""Ruby Best Practices""";56;2013-10-12T17:50:12Z;2013-10-12T17:54:18Z;1;0;1;0;;2;1;This is neither a book nor free.
EbookFoundation;free-programming-books;Update free-programming-books.md;57;2013-10-12T18:58:36Z;2013-10-12T19:44:02Z;1;5;0;0;;2;1;Added an entry for the processing programming language.
EbookFoundation;free-programming-books;Added some books;58;2013-10-12T19:57:54Z;2013-10-12T20:15:17Z;1;10;0;0;;2;0;Icon book (and heading), Joe Armstrong's thesis, Small Memory Software, Purely Functional Data Structures, OpenGL Insights
EbookFoundation;free-programming-books;"Add Jan Newmarch's ""Network Programming in Go""";59;2013-10-12T22:19:31Z;2013-10-13T08:18:51Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added link to Eijkhout's Intro to HPC;60;2013-10-12T22:33:42Z;2013-10-13T08:19:05Z;1;2;0;0;;2;0;
EbookFoundation;free-programming-books;"Added link to ""The Bastards Book of Ruby""";61;2013-10-12T22:56:07Z;2013-10-13T08:19:38Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added Git internals;62;2013-10-13T00:22:49Z;2013-10-13T08:20:25Z;1;1;0;0;;2;0;Added git internals book to Git section
EbookFoundation;free-programming-books;Added subcategory for Backbone.js and a link for 'Developing Backbone.js...;63;2013-10-13T01:22:20Z;2013-10-15T11:09:58Z;1;10;5;0;;2;1;"... Applications'
Also alphabetized the subcategories under Javascript, now that there are three. Made the adjustment in the table of contents as well."
EbookFoundation;free-programming-books;Updated links to Dive Into HTML5;64;2013-10-13T01:37:04Z;2013-10-13T08:22:23Z;1;3;3;0;;2;1;"Changed the link to the community-maintained web version of the book.


We work hard to add and update content, links, APIs, and actively maintain this fine resource; refreshing and reflecting the relevant and current state of HTML5, just as Mark Pilgrim did during his tenure


Added a link to a PDF version of Dive Into HTML5.


The eBook has an embedded table of contents, working cross-references, well-placed page breaks and tons of others tiny tweaks and enhancements.

Both of these resources have been updated and enhanced and build upon the original work by Mark Pilgrim.
It should be said that I did not hotlink to the PDF but instead linked to the page where the PDF can be downloaded.
Mislav Marohnić, the person who prepared the PDF, made a great effort in doing so and he should be recognised for that. I think that the other PDF hotlinks should be substituted with links to the proper pages where the PDFs can be downloaded but I'll leave that up to others."
EbookFoundation;free-programming-books;Update free-programming-books.md;65;2013-10-13T03:13:55Z;2013-10-13T08:23:29Z;1;7;0;0;;2;0;Thought of a few more... kind of punted a bit categorizing them (LEDA isn't exactly language agnostic, for instance, though its ideas should be)
EbookFoundation;free-programming-books;Added Programming with gtkmm and GUI category;66;2013-10-13T04:54:32Z;2013-10-15T11:10:15Z;1;5;0;0;;2;0;
EbookFoundation;free-programming-books;add javascript garden;67;2013-10-13T05:19:19Z;2013-11-29T19:09:49Z;1;1;0;0;;3;0;
EbookFoundation;free-programming-books;Added Django Book;68;2013-10-13T08:06:10Z;2013-10-13T08:18:34Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Adding books about Backbone, AngularJS, GIT;69;2013-10-13T08:20:14Z;2013-10-15T10:09:12Z;1;5;1;0;;2;0;
EbookFoundation;free-programming-books;"adding two link for ""Sage"", the mathematical software system";70;2013-10-13T08:45:59Z;2013-10-13T10:56:46Z;1;5;0;0;;2;0;
EbookFoundation;free-programming-books;3 French books: on LaTeX and on Python;71;2013-10-13T11:19:53Z;2013-10-16T12:45:58Z;1;3;1;0;;2;5;
EbookFoundation;free-programming-books;Added Scala School by Twitter;73;2013-10-13T11:54:37Z;2013-10-13T11:55:44Z;1;1;0;0;;2;0;Very good scala step-by-step guides from Twitter.
EbookFoundation;free-programming-books;Added Rosetta Code;74;2013-10-13T16:13:20Z;2013-10-13T20:00:56Z;1;1;1;0;;2;1;Added Rosetta Code. It contains a list of Programming tasks and their solutions in more languages than one. Hope people will find this useful. :)
EbookFoundation;free-programming-books;Added 'Natural Language Processing for the Working Programmer';75;2013-10-13T16:24:04Z;2013-10-13T16:27:28Z;1;2;0;0;;1;0;
EbookFoundation;free-programming-books;Added 'Haskell and Yesod';76;2013-10-13T16:40:29Z;2013-10-13T20:00:30Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added Cryptography chapter and 'Applied Cryptography';77;2013-10-13T16:40:52Z;2013-12-30T16:39:21Z;1;7;0;0;;3;2;
EbookFoundation;free-programming-books;Added 'Natural Language Processing for the Working Programmer';78;2013-10-13T16:41:12Z;2013-10-13T20:08:58Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;add theory section (vs algorithms or misc), seed with network theory book;79;2013-10-13T17:29:07Z;2013-10-13T17:33:11Z;1;4;0;0;;1;0;
EbookFoundation;free-programming-books;add theory section (vs algorithms or misc), seed with network theory book;80;2013-10-13T17:34:42Z;2013-10-14T08:19:29Z;1;4;0;0;;2;3;
EbookFoundation;free-programming-books;Add Flask tutorail;81;2013-10-13T17:53:12Z;2013-10-13T20:03:42Z;1;4;0;0;;2;0;
EbookFoundation;free-programming-books;fix url;82;2013-10-13T19:15:09Z;2013-10-13T20:05:03Z;1;1;1;0;;2;0;update url
EbookFoundation;free-programming-books;fixed Perl 6 link in contents;83;2013-10-13T19:56:12Z;2013-10-13T20:05:17Z;1;1;1;0;;2;0;
EbookFoundation;free-programming-books;Professional Assembly Language book and Racket guide;84;2013-10-13T22:01:46Z;2013-10-14T08:19:55Z;1;2;0;0;;3;1;Assembly IA-32 by Richard Blum and Racket guide.
EbookFoundation;free-programming-books;Added Learn CF in a Week book link;85;2013-10-13T22:16:04Z;2013-10-14T08:20:10Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;More Lua books;86;2013-10-13T23:50:28Z;2013-10-14T08:20:33Z;1;2;0;0;;2;0;"The official Lua 5.1 reference manual and ""Programming gems"" that is a great advanced book of Lua."
EbookFoundation;free-programming-books;Added Android Programming books.;87;2013-10-14T00:25:04Z;2013-10-14T08:20:48Z;1;2;0;0;;2;0;
EbookFoundation;free-programming-books;"Added Ulrich Drepper's ""What Every Programmer Should Know About Memory""";88;2013-10-14T02:36:18Z;2013-10-14T08:21:09Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Few books from hackershelf.com;89;2013-10-14T03:08:27Z;2013-10-14T11:38:02Z;1;18;0;0;;2;2;More books coming
EbookFoundation;free-programming-books;Added 2 excellent R books;90;2013-10-14T03:26:15Z;2013-10-14T19:44:55Z;1;0;0;0;;2;2;Added two excellent R resources from Charles DiMaggio at Columbia University's Mailman School of Public Health.
EbookFoundation;free-programming-books;Added Ada and JavaScript books;91;2013-10-14T04:00:55Z;2013-10-14T08:23:50Z;1;6;0;0;;2;0;"Ada 95 by John English
Ada Distilled by Richard Riehle
Ada for Software Engineers by M. Ben-Ari
JavaScript Bible by Danny Goodman
(from the r/programming thread)"
EbookFoundation;free-programming-books;Added LaTeX Wikibook;92;2013-10-14T05:47:54Z;2013-10-14T08:24:01Z;1;1;0;0;;2;0;The LaTeX Wikibook is my favourite reference for LaTeX and has lots of good examples.
EbookFoundation;free-programming-books;add a new, and very excellent, R book;93;2013-10-14T06:32:28Z;2013-10-14T08:24:17Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Add IDL guide.;94;2013-10-14T09:05:09Z;2013-10-14T11:36:47Z;1;7;0;0;;2;0;"IDL is language used on astronomy, but it is now being replaced by Python. I
have added here the Getting Started with IDL."
EbookFoundation;free-programming-books;Added python books;95;2013-10-14T09:55:53Z;2013-10-14T11:37:01Z;1;2;0;0;;2;0;
EbookFoundation;free-programming-books;Remove broken link for F# Survival Guide;96;2013-10-14T10:22:09Z;2013-10-14T11:37:12Z;1;0;1;0;;2;0;
EbookFoundation;free-programming-books;"Add ""The Art of Assembly Language Programming"" book.";97;2013-10-14T10:40:44Z;2013-10-14T11:37:25Z;1;2;1;0;;2;0;"Adding ""The Art of Assembly Language Programming"" by Randall Hyde"
EbookFoundation;free-programming-books;Added (Programming in D) book;98;2013-10-14T13:03:01Z;2013-10-14T15:25:29Z;1;6;2;0;;2;0;
EbookFoundation;free-programming-books;Added OpenSCAD User Manual;99;2013-10-14T13:52:41Z;2013-10-14T15:25:40Z;1;6;0;0;;2;0;Added a section for OpenSCAD and a link to the online User Manual that describes the software and the 3D modelling language it uses.
EbookFoundation;free-programming-books;"Add ""Git Magic"" book.";101;2013-10-14T14:20:25Z;2013-10-14T15:25:51Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Added Practical and Theoretical Aspects of Compiler Construction;102;2013-10-14T14:39:31Z;2013-10-14T15:26:02Z;1;1;0;0;;2;0;Stanford CS143 course archives from 2012.
EbookFoundation;free-programming-books;Added PHP: The Right Way;103;2013-10-14T14:40:27Z;2013-10-14T15:26:20Z;1;1;0;0;;2;0;
EbookFoundation;free-programming-books;Adds 'Developing Backbone.js Applications';104;2013-10-14T15:59:04Z;2013-10-14T16:00:24Z;1;1;0;0;;2;0;"Adding 'Developing Backbone.js Applications' to the JavaScript list.
Thanks!"
EbookFoundation;free-programming-books;Add Android Resource from vogella;105;2013-10-14T16:25:56Z;2013-10-14T18:31:56Z;1;1;0;0;;2;0;Add Android Resource from vogella
